id_city;city;num_ofertas
231;A Coruña;486
232;Álava;466
233;Albacete;456
234;Alicante;503
235;Almería;466
236;Asturias;496
237;Ávila;456
238;Badajoz;455
239;Baleares;463
240;Barcelona;1109
241;Bizkaia;547
242;Burgos;458
243;Cáceres;456
244;Cádiz;465
245;Cantabria;472
246;Castellón;468
247;Ceuta;450
248;Ciudad Real;463
249;Córdoba;474
250;Cuenca;452
251;Gipuzkoa;488
252;Girona;480
253;Granada;499
254;Guadalajara;476
255;Huelva;456
256;Huesca;451
257;Jaén;459
258;La Rioja;452
259;Las Palmas de Gran Canaria;484
260;León;461
261;Lugo;465
262;Lleida;471
263;Madrid;1577
264;Málaga;554
265;Melilla;449
266;Murcia;508
267;Navarra;462
268;Ourense;462
269;Palencia;452
270;Pontevedra;471
271;Salamanca;461
272;Sta. Cruz de Tenerife;479
273;Segovia;466
274;Sevilla;553
275;Soria;451
276;Tarragona;475
277;Teruel;452
278;Toledo;474
279;Valencia;685
280;Valladolid;489
281;Zamora;454
282;Zaragoza;493
