id;name;total_num_of_jobs;total_num_of_pages
231;A Coruña;578;range(1, 21)
232;Álava;570;range(1, 20)
233;Albacete;560;range(1, 20)
234;Alicante;604;range(1, 22)
235;Almería;560;range(1, 20)
236;Asturias;584;range(1, 21)
237;Ávila;571;range(1, 21)
238;Badajoz;558;range(1, 20)
239;Baleares;563;range(1, 20)
240;Barcelona;1148;range(1, 40)
241;Bizkaia;643;range(1, 23)
242;Burgos;558;range(1, 20)
243;Cáceres;558;range(1, 20)
244;Cádiz;563;range(1, 20)
245;Cantabria;574;range(1, 21)
246;Castellón;578;range(1, 21)
247;Ceuta;557;range(1, 20)
248;Ciudad Real;565;range(1, 20)
249;Córdoba;569;range(1, 20)
250;Cuenca;560;range(1, 20)
251;Gipuzkoa;592;range(1, 21)
252;Girona;579;range(1, 21)
253;Granada;562;range(1, 20)
254;Guadalajara;585;range(1, 21)
255;Huelva;562;range(1, 20)
256;Huesca;559;range(1, 20)
257;Jaén;560;range(1, 20)
258;La Rioja;561;range(1, 20)
259;Las Palmas de Gran Canaria;566;range(1, 20)
260;León;561;range(1, 20)
261;Lugo;562;range(1, 20)
262;Lleida;570;range(1, 20)
263;Madrid;1432;range(1, 49)
264;Málaga;597;range(1, 21)
265;Melilla;557;range(1, 20)
266;Murcia;579;range(1, 21)
267;Navarra;575;range(1, 21)
268;Ourense;561;range(1, 20)
269;Palencia;559;range(1, 20)
270;Pontevedra;579;range(1, 21)
271;Salamanca;567;range(1, 20)
272;Sta. Cruz de Tenerife;566;range(1, 20)
273;Segovia;571;range(1, 21)
274;Sevilla;629;range(1, 22)
275;Soria;556;range(1, 20)
276;Tarragona;580;range(1, 21)
277;Teruel;561;range(1, 20)
278;Toledo;589;range(1, 21)
279;Valencia;723;range(1, 26)
280;Valladolid;596;range(1, 21)
281;Zamora;559;range(1, 20)
282;Zaragoza;611;range(1, 22)
