id_city;city;num_ofertas
231;A Coruña;561
232;Álava;554
233;Albacete;539
234;Alicante;597
235;Almería;537
236;Asturias;557
237;Ávila;537
238;Badajoz;530
239;Baleares;542
240;Barcelona;1154
241;Bizkaia;633
242;Burgos;536
243;Cáceres;532
244;Cádiz;537
245;Cantabria;545
246;Castellón;570
247;Ceuta;529
248;Ciudad Real;533
249;Córdoba;546
250;Cuenca;532
251;Gipuzkoa;587
252;Girona;559
253;Granada;542
254;Guadalajara;545
255;Huelva;541
256;Huesca;531
257;Jaén;534
258;La Rioja;539
259;Las Palmas de Gran Canaria;542
260;León;533
261;Lugo;532
262;Lleida;546
263;Madrid;1360
264;Málaga;585
265;Melilla;530
266;Murcia;577
267;Navarra;558
268;Ourense;532
269;Palencia;541
270;Pontevedra;539
271;Salamanca;534
272;Sta. Cruz de Tenerife;538
273;Segovia;540
274;Sevilla;608
275;Soria;529
276;Tarragona;554
277;Teruel;533
278;Toledo;545
279;Valencia;784
280;Valladolid;574
281;Zamora;532
282;Zaragoza;581
