job_url;job_name;job_company;job_technologies_stack;job_description;publication_date;workplace_location;has_been_updated;salary_lower_bound;salary_upper_bound;cutoff_date
https://www.tecnoempleo.com/desarrollador-senior-power-bi-remoto/power-bi-dax-studio/rf-b0431bab92cd63fc2344;Desarrollador Senior Power BI;NPR Spain;['Power BI', 'DAX Studio'];En NPR queremos conseguir ser pioneros en la implantación de las tecnologías de vanguardia y por ello seguimos en pleno proceso de expansión. ¿Quieres crecer trabajando ...;06/09/2024;remoto;;;;2024-09-07
https://www.tecnoempleo.com/administrador-big-data-cloudera-hibrido/linux-c-net-cloud-data-bi-big-data/rf-dfcf1eef027f6382724f;Administrador/a Big Data (Cloudera);NPR Spain;['linux', 'c', 'net'];En NPR, siempre estamos en continua evolución incorporando nuevas tecnologías para conseguir los mayores estándares de calidad. Para ello, estamos en proceso de expansión ...;06/09/2024;Híbrido;;;;2024-09-07
https://www.tecnoempleo.com/sap-project-manager-architect-madrid/sap-sap-co-sap-ps-ppm-fi-co-hcm-abap/rf-1d6d10b772ba13bd534b;SAP Project Manager/Architect;Inventive Search;['SAP', 'SAP CO', 'SAP PS'];Obtener requisitos empresariales mediante reuniones de desarrollo de aplicacionesTransformar los requisitos empresariales en especificaciones técnicas detalladas...;06/09/2024;;;45000;80000;2024-09-07
https://www.tecnoempleo.com/enterprise-account-executive-bruselas/hubspot-linkedin-sales-navigator-goo/rf-8569131072baa35bf840;Enterprise Account Executive;GeoPostcodes;['HubSpot', 'LinkedIn Sales Navigator', 'Slides'];Do you want to join our team in Belgium and help us win all over the world? GeoPostcodes is a fast-growing Belgian tech company that is the go- to expert when it comes down ...;06/09/2024;;;42000;54000;2024-09-07
https://www.tecnoempleo.com/analista-pro-cobol-cics-db2-jcl-barcelona/cobol-cics-db2/rf-554015f89212d3f02748;Analista Pro. COBOL CICS DB2 JCL;Incoming Domain;['cobol', 'cics', 'db2'];TELETRABAJO para Desarrolladores (AF, AT, AP, PS) en alguna de las siguientes OFERTAS.OFERTAS ACTIVAS (*) : * MIGRACION / * CORE BANKING / * HOST / * MIGRACION  : COBOL, ...;07/09/2024;;;21000;30000;2024-09-07
https://www.tecnoempleo.com/analista-programador-oracle-remoto/oracle-oracle-forms-oracle-reports-sql-/rf-f24f180172b2a322dc4f;Analista Programador/a Oracle;Serem;['Oracle', 'Oracle Forms', 'Oracle Reports'];¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito!En Serem estamos comprometidos con diversos proyectos y queremos contar con ...;07/09/2024;remoto;Actualizada;27000;33000;2024-09-07
https://www.tecnoempleo.com/tester-funcional-salesforce-hibrido/salesforce-jenkins-jira-cassiopae/rf-e61b141bb257d3c26d4e;Tester  Funcional - Salesforce;Arelance;['Salesforce', 'jenkins', 'jira'];En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...;07/09/2024;Híbrido;Actualizada;30000;33000;2024-09-07
https://www.tecnoempleo.com/desarrollador-full-stack-remoto/jira-confluence-git-bickbucket-jenkins/rf-1ddd1f2632052342b346;Desarrollador/a Full Stack;CAS TRAINING;['Jira', 'Confluence', 'GIT'];Cas Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a un/a Desarrollador Full Stack para ...;07/09/2024;remoto;Actualizada;30000;36000;2024-09-07
https://www.tecnoempleo.com/programador-spark-scala-remoto-remoto/scala-spark-hive-github/rf-ae6015848208a33da649;Programador/a SPARK Scala (REMOTO);Krell Consulting & Training;['scala', 'spark', 'Hive'];Nos encontramos en la búsqueda de un programador/a para trabajar con importante cliente en contratación inicial con KRELL.DESCRIPCION Y FUNCIOMESDesarrollador Spark/...;07/09/2024;remoto;Actualizada;36000;36000;2024-09-07
https://www.tecnoempleo.com/programador-ionic-angular-hibrido/ionic-java-javascript-angular-spring-git/rf-acb01178c25fd3b5f64b;Programador/a Ionic y Angular;CMV Consultores;['Ionic', 'java', 'javascript'];¿Estás buscando una nueva oportunidad o un nuevo proyecto?CMV Consultores, en colaboración con importante partner del sector IT, precisa incorporar un perfil programador/...;07/09/2024;Híbrido;Actualizada;21000;39000;2024-09-07
https://www.tecnoempleo.com/consultor-tecnologico-teletrabajo-remoto/sql-doker-git-net-kubernetes/rf-0add1ed432de436e224a;Consultor/a tecnológico (TELETRABAJO);CMV Consultores;['sql', 'Doker', 'git'];En CMV Consultores, te OFRECEMOS:-Interesante proyecto en cliente de primer nivel.-Contrato indefinido.-Modalidad 100% TELETRABAJO.Buscamos 1 Consultor/a tecnológico de...;07/09/2024;remoto;Actualizada;30000;36000;2024-09-07
https://www.tecnoempleo.com/project-manager-sector-industrial-40-hibrido/robotica-c-c/rf-10ba154a72e463c2f349;Project Manager - Sector Industrial 4.0;Digital Talent Agency;['Robótica', 'C', 'C++'];Como Project Manager formarás parte del equipo que trabaja en una de las empresas de mayor crecimiento y demanda de la industria robótica.Serás responsable de liderar una...;07/09/2024;Híbrido;Actualizada;42000;48000;2024-09-07
https://www.tecnoempleo.com/teleoperador-con-frances-hibrido/microinformatica/rf-7dab17a5e2812327ab48;Teleoperador/a con Francés;Serem;['microinformatica'];¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito!Estamos ampliando nuestro equipo de Service Desk incorporando a personas ...;07/09/2024;Híbrido;Actualizada;16000;18000;2024-09-07
https://www.tecnoempleo.com/analistas-mainframe-db2-remoto/db2-batch-mainframe/rf-de3319988236c3e5f14d;Analistas MAINFRAME DB2;Krell Consulting & Training;['db2', 'batch', 'mainframe'];PERFILES MAINFRAMENecesidad de 3 analistas funcionales o expertos técnicos mainframe y 4 analistas-programadores mainframe.Analistas funcionales/expertos técnicos: ...;07/09/2024;remoto;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/analista-programacion-java-hibrido/java-spring-oracle-microservicios-api-s/rf-37301efcd2ff73699d45;Analista de programación Java;Krell Consulting & Training;['java', 'spring', 'oracle'];Estamos buscando un Desarrollador Senior Backend altamente cualificado para unirse a nuestro equipo. Este rol implica colaborar con el líder técnico del equipo para el dise...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/cmdb-data-quality-manager-hibrido/servicenow-itil/rf-409b15490246e32aeb4e;CMDB Data Quality Manager;PANEL Sistemas Informáticos;['ServiceNow', 'ITIL'];¿Quieres formar parte del #TeamPanel? Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en ...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/ingeniero-senior-en-cloud-aws-presencial/linux-aws-azure-apigee-net-kubern/rf-2c37184f12c3f3ce384c;Ingeniero Senior en Cloud AWS;PANEL Sistemas Informáticos;['linux', 'aws', 'azure'];¿Quieres formar parte del #TeamPanel? Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en ...;07/09/2024;;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/tecnico-redes-mision-critica-hibrido/seguridad-5g-lte-tetra/rf-d75c1e33827a33521144;Técnico/a Redes de misión crítica;Serem;['seguridad', '5G', 'LTE'];¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito!¿Eres un profesional con sólida experiencia en redes de telecomunicaciones, ...;07/09/2024;Híbrido;Actualizada;27000;33000;2024-09-07
https://www.tecnoempleo.com/comunicaciones-mainframe-hibrido/tcp-ip-vipas-ftp-sftp-ftps-db2-cics-osas-/rf-22871e01b277a3f95640;Comunicaciones Mainframe;Tuyú Technology;['TCP/IP', 'VIPAS', 'FTP'];¡Hola!¿Quieres crecer profesionalmente? ¿Buscas nuevos retos a nivel profesional? ¡Te estamos buscando! En TUYÚ Technology, estamos en la búsqueda de un profesional ...;07/09/2024;Híbrido;Actualizada;42000;45000;2024-09-07
https://www.tecnoempleo.com/ingeniero-soporte-n3-italiano-alto-madrid/wifi-gpon-iptv-ott/rf-6e51103fb2b4a388034d;Ingeniero de soporte N3 (italiano alto);Page Personnel;['WiFi', 'GPON', 'IPTV'];Perfil buscado (Hombre/Mujer)• Proporcionar soporte técnico a los usuarios, resolviendo problemas y consultas relacionados con el hardware y el software.• Gestionar y...;07/09/2024;;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/desarrollador-senior-aws-remoto/lambda-amazon-emr-aws-aws-glue-amazon-s3-p/rf-513413435210f30fd442;Desarrollador Senior AWS;Krell Consulting & Training;['Lambda', 'Amazon EMR', 'AWS'];🌟 ¡Excelente Oportunidad Laboral!🌟En Krell Consulting estamos en busca de un Desarrollador Senior AWS para trabajar con uno de nuestros clientes más importantes....;07/09/2024;remoto;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/ingeniero-cloud-aws-remoto/aws-docker-kubernetes-docker/rf-4e531606126703115d40;Ingeniero Cloud AWS;Krell Consulting & Training;['aws', 'Docker', 'kubernetes'];🌟 ¡Excelente Oportunidad Laboral!🌟En Krell Consulting estamos en busca de un Ingeniero Cloud AWS para trabajar con uno de nuestros clientes más importantes....;07/09/2024;remoto;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/analista-programador-cobol-hibrido/cobol-db2-cics-jcl/rf-d8f61c26d29b13f7e84f;Analista Programador Cobol;Digital Talent Agency;['cobol', 'db2', 'cics'];Desde Zemsania Global Group estamos buscando un perfil como ANALISTA PROGRAMADOR/A COBOL con experiencia para formar parte de un proyecto en Tres Cantos, Madrid. Con modelo ...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/data-engineer-remoto/aws-data-ci-cd-scala-spark/rf-9935189de25823f02841;Data Engineer;Krell Consulting & Training;['aws', 'data', 'ci/cd'];🌟 ¡Excelente Oportunidad Laboral!🌟En Krell Consulting estamos en busca de un Data Engineer para trabajar con uno de nuestros clientes más importantes.Requisitos...;07/09/2024;remoto;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/ingeniero-soporte-n3-frances-madrid/soporte-microinformatica/rf-d1c11700421793f4dd48;Ingeniero de soporte N3 (francés);Page Personnel;['soporte', 'microinformática'];Perfil buscado (Hombre/Mujer)• Brindar soporte técnico de nivel 3 a los usuarios.• Mantener y mejorar los sistemas tecnológicos existentes.• Identificar y ...;07/09/2024;;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/embedded-software-engineer-c-hibrido/c-socs-spi-freertos/rf-67d61acc02a223e4634c;Embedded Software Engineer C;Start People;['C', 'SoCs', 'SPI'];En START PEOPLE nos encontramos en la búsqueda de un Embedded Software Engineer, para el departamento de I+D de uno de nuestros clientes, empresa tecnológica lider en ...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/teleoperador-multilingue-hibrido/c-net-cad-rest-bi-j2ee/rf-bd35182cb2f893e96c4d;Teleoperador/a Multilingue;Serem;['c', 'net', 'cad'];¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito!Estamos ampliando nuestro equipo de Service Desk incorporando a personas ...;07/09/2024;Híbrido;Actualizada;16000;18000;2024-09-07
https://www.tecnoempleo.com/analista-programador-power-apps-remoto/power-platform-power-apps/rf-b95b1b1022655354f348;Analista Programador/a Power Apps;Serem;['Power Platform', 'Power Apps'];¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito!En Serem estamos comprometidos con diversos proyectos y queremos contar con ...;07/09/2024;remoto;Actualizada;27000;33000;2024-09-07
https://www.tecnoempleo.com/teleoperador-con-aleman-sta-cruz-tenerife/servicedesk/rf-76bd10a9d211b359e441;Teleoperador/a con Alemán;Serem;['ServiceDesk'];¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito!Estamos ampliando nuestro equipo de Service Desk incorporando a personas ...;07/09/2024;;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/data-engineer-aws-snowflake-hibrido/snowflake-aws-python-sql/rf-2f671c2d92cb3377554e;Data Engineer AWS Snowflake;Serem;['snowflake', 'AWS', 'Python'];En Serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.Actualmente, nos encontramos en la búsqueda de un/una Data ...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/ingeniero-software-embebido-hibrido/c-c/rf-ae1519f5921e23f8ce41;Ingeniero/a de Software Embebido;GMV;['C', 'C++'];Si siempre aspiraste a diseñar el KIIT del futuro... ¡Tu sitio está con nosotros!Estamos ampliandonuestro equipo en el Sector de Sistemas Inteligentes de Transporte,...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
