job_url;job_name;job_company;job_technologies_stack;job_description;publication_date;workplace_location;has_been_updated;salary_lower_bound;salary_upper_bound;cutoff_date
https://www.tecnoempleo.com/administrador-big-data-cloudera-remoto/data-linux-hadoop-cloudera-private-/rf-98f219514214932e3c49;;NPR Spain;['data', 'linux', 'hadoop'];En NPR, siempre estamos en continua evolución incorporando nuevas tecnologías para conseguir los mayores estándares de calidad. Para ello, estamos en proceso de expansión ...;02/08/2024;remoto;;;;2024-08-04
https://www.tecnoempleo.com/identity-and-access-management-hibrido/active-directory-ldap-microsoft-web/rf-cbc414c702c70352f646;;UNICEF ICTD;['Active Directory', 'LDAP', 'Microsoft 365'];UNICEF works in over 190 countries and territories to save children’s lives, defend their rights, and help them fulfill their potential, from early childhood through ...;02/08/2024;Híbrido;;54000;60000;2024-08-04
https://www.tecnoempleo.com/senior-angular-developer-remoto/angular-typescript-tdd-jasmine-karma/rf-52f01441c26a734e7040;;OXIGENT Technologies;['angular', 'Typescript', 'TDD'];¿Te interesaría seguir desarrollándote como Senior Angular Developer en una empresa internacional líder del sector construcción, gestión de servicios medioambientales...;02/08/2024;remoto;;39000;48000;2024-08-04
https://www.tecnoempleo.com/backend-software-engineer-malaga/java-angular/rf-688d11f3329cd3f5c74f;;Michael Page;['Java', 'Angular'];Perfil buscado (Hombre/Mujer)Como Ingeniero Senior de Software Backend, estas tareas incluyen:- Apoyar fuertemente la migración de un sistema monolítico a una ...;04/08/2024;;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/ingeniero-sistemas-guerra-electronica-hibrido/radar/rf-b2381482a20a43d73849;;Krell Consulting & Training;['radar'];Ubicación: 60% del tiempo presencial en Torrejón y 40% TeletrabajoDisponibilidad para viajar: Nacional e internacional (duración de los viajes puede ser de una o varias ...;04/08/2024;Híbrido;Actualizada;30000;36000;2024-08-04
https://www.tecnoempleo.com/desarrollador-frontend-angular-remoto/angular-rxjs-rest-git/rf-e096128a42f573d1b342;;Digital Talent Agency;['angular', 'rxjs', 'rest'];En la actualidad seleccionamos un perfil de DESARROLLADOR/A ANGULAR con experiencia de al menos 3 años realizando funciones relacionadas MISIÓN:Realizar tareas de ...;04/08/2024;remoto;Actualizada;30000;39000;2024-08-04
https://www.tecnoempleo.com/qa-especialista-resiber-amadeus-presencial/resiber-amadeus/rf-af5416b422d19341664a;;PANEL Sistemas Informáticos;['resiber amadeus'];¿Quieres formar parte del #TeamPanel? Estamos buscando personas con conocimiento funcional tanto de Resiber como Amadeus para formar parte de un equipo ágil con el rol de ...;04/08/2024;;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/java-developer-remoto/java-python-cassandra-docker-elasticsearch/rf-324c1b0c22f5b37c0b4a;;Almato Iberia;['java', 'python', 'cassandra'];Descripción del empleoAlmato Iberia está en la búsqueda de un Senior Test Designer/Tester para unirse a nuestro equipo en el proyecto de migración del sistema ERP a un ...;04/08/2024;remoto;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/ingeniero-validacion-verificacion-hibrido/testing/rf-7817190b7295f332a34c;;arelance;['testing'];¿Cómo vas a afrontar tu desarrollo profesional? Acompañado o en solitario, con vistas al futuro o sólo en el presente, con entusiasmo o sin ilusión.En Arelance sabemos ...;04/08/2024;Híbrido;Actualizada;27000;30000;2024-08-04
https://www.tecnoempleo.com/tecnico-administracion-openshift-presencial/openshift-linux-red-hat-kubern/rf-55b1199fa2f4b302ff43;;Krell Consulting & Training;['openshift', 'linux red hat', 'kubernetes'];Estamos buscando un Técnico para administración Openshift y aplicaciones en Openshift altamente capacitado para unirse a nuestro equipo. El candidato ideal debe tener ...;04/08/2024;;Actualizada;45000;48000;2024-08-04
https://www.tecnoempleo.com/analista-programador-cobol-banca-remoto/cobol-host-jcl/rf-e5db193942eb932c2541;;Grupo Digital;['cobol', 'Host', 'JCL'];Desde Grupo Digital, estamos en búsqueda de varios perfiles Analista Programador Cobol para importantes proyectos del sector banca.Duración proyecto: Estable.Ubicación...;04/08/2024;remoto;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/tecnico-sistemas-sccm-jamf-epo-hibrido/sccm-jamf-epo/rf-3324181cf262a36c0446;;PANEL Sistemas Informáticos;['SCCM', 'JAMF', 'EPO'];¿Quieres formar parte del #TeamPanel? Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en ...;04/08/2024;Híbrido;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/api-support-engineer-partner-engineer-remoto/api-restful-http-json-postman/rf-5f7c1e8f42017339eb4c;;Bcnc Group;['api', 'restful', 'http'];¿Estás listo para formar parte de un proyecto estratégico en una de las multinacionales líderes en el sector de las telecomunicaciones? En BCNC Group, buscamos API SUPPORT...;04/08/2024;remoto;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/consultor-tic-hibrido/powerplatform-ms365-power-apps-power-automate-powerb/rf-986c10b1a21833191842;;CMV Consultores;['PowerPlatform', 'Ms365', 'Power Apps'];¿Estás buscando una nueva oportunidad o un nuevo proyecto?CMV Consultores, en colaboración con importante partner del sector IT, precisa incorporar un Consultor/a experto...;04/08/2024;Híbrido;Actualizada;30000;36000;2024-08-04
https://www.tecnoempleo.com/responsable-sistemas-palencia/windows-redes/rf-974e1ef612c5b3163740;;Page Personnel;['Windows', 'Redes'];Perfil buscado (Hombre/Mujer)Reportando directamente a gerencia y formando parte del equipo local de IT y nacional (20-40 personas en el dpto IT aproximadamente)...;04/08/2024;;Actualizada;39000;45000;2024-08-04
https://www.tecnoempleo.com/ingeniero-diseno-electrico-valencia/eplan-autocad/rf-67cb126a32e833f8384f;;OXIGENT Technologies;['EPLAN', 'AUTOCAD'];¿Te interesaría seguir desarrollándote como Ingeniero/a de Diseño Eléctrico en una empresa especialista en el diseño y puesta en marcha de soluciones tecnológicas ...;04/08/2024;;Actualizada;30000;36000;2024-08-04
https://www.tecnoempleo.com/lider-tecnico-full-stack-java-hibrido/java-spring/rf-850c1650725813499f49;;GMV;['Java', 'Spring'];¿Buscas un sitio innovador y consolidado en el que desarrollarte profesionalmente? GMV somos un grupo tecnológico con amplia experiencia.Estamos apliando nuestros equipos en...;04/08/2024;Híbrido;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/full-stack-developer-ruby-react-hibrido/react-ruby/rf-f85d1c6762d6c3a22440;;Start People;['REACT', 'Ruby'];En START PEOPLE estamos en búsqueda de un perfil Full Stack (Ruby & React) para una oportunidad muy interesante para cliente final con presencia en territorio nacional.¿Qu...;04/08/2024;Híbrido;Actualizada;24000;30000;2024-08-04
https://www.tecnoempleo.com/devops-aws-remoto/devops-aws-kubernetes-docker-terraform-git/rf-22821708e2599393a345;;arelance;['devops', 'aws', 'kubernetes'];En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...;04/08/2024;remoto;Actualizada;27000;30000;2024-08-04
https://www.tecnoempleo.com/consultores-sap-brim-hibrido/sap-brim-fica/rf-668119cba205c3e06840;;Seltime;['SAP BRIM', 'FICA'];SELTIME compañía española en proceso de expansión, líder en dar soluciones tecnológicas específicas a cada cliente y un trato personalizado a nuestros profesionales....;04/08/2024;Híbrido;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/analista-programador-cobol-remoto/cobol-microfocus-sqlserver-db2-oracle-gi/rf-39da13df422ba34cdf43;;Digital Talent Agency;['cobol', 'microfocus', 'sqlserver'];DescripciónAnalista Programador/a Cobol en Zemsania¡Zemsania busca un/a Analista Programador/a Cobol con al menos 4 años de experiencia para unirse a nuestro equipo...;04/08/2024;remoto;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/wmos-manhattan-especialista-remoto/wms/rf-325610e3222513895c49;;Grupo Digital;['WMS'];Desde Grupo Digital buscamos para empresa del sevtor retailExperto en WMOS-ManhattanTareas a realizar* consultoría de la cadena de suministro y operaciones,* diseñio ...;04/08/2024;remoto;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/sap-co-consultant-remoto/sap-sap-co/rf-28721d8a82de8330b84d;;Grupo Digital;['SAP', 'SAP CO'];Desde Grupo Digital buscamos para  trabajar en modo MULTICLIENTE SAP Controlling   Consultant Tus funciones principales seran:* Consultoría SAP en el área de ...;04/08/2024;remoto;Actualizada;;;2024-08-04
