job_url,job_name,job_company,job_technologies_stack,job_description,job_other_info
https://www.tecnoempleo.com/java-developer-mytic-innova/java-angular-sql-spring-boot-scrum-git-html-cs/rf-41161fb7221863bdc145,Java Developer,Mytic Innova,"['Java', 'Angular', 'SQL']",Mytic Innova selecciona Desarrollador/a Java para importante cliente internacional de automoción situado en Barcelona. Proyecto estable con desarrollo profesional y buen ...,24/01/2025Barcelona (Híbrido)Analista Programador27.000€ - 33.000€ b/a
https://www.tecnoempleo.com/especialista-senior-en-sap-npr-spain/sap-hana-sap-fi-sap-fico-sap-hana/rf-76d118fc42a62314554e,Especialista Senior en SAP,NPR Spain,"['sap', 'HANA', 'SAP FI']","En NPR Spain, estamos en plena búsqueda de especialistas senior por módulo funcional (FI, CO, SD, MM, PP/QM, PM) para formar parte de un proyecto desafiante y de alto nivel...",24/01/2025Madrid (Presencial)Consultor
https://www.tecnoempleo.com/data-scientist-gstock-web-app/machine-learning-big-data-business-intellige/rf-979015db12846362d04c,Data Scientist,Gstock Web App,"['machine learning', 'big data', 'business intelligence']","¿ Quienes somos ?
En Gstock, llevamos desde 2013 revolucionando la gestión de restaurantes y hoteles. Nuestra aplicación web, diseñada específicamente para el sector ...",24/01/2025100% remotoBig Data24.000€ - 30.000€ b/aJornada intensiva mañana
https://www.tecnoempleo.com/consultor-sap-success-factor-hihired/sap/rf-23391602e2e8935f364a,Consultor/a SAP SUCCESS FACTOR,Hihired,['sap'],Buscamos a un consultor/a SuccessFactors Experto/a con varios años de experiencia y que esté en Barcelona o alrededores. Qué tenga varios proyectos a sus espaldas en el mó...,24/01/2025100% remotoConsultor39.000€ - 54.000€ b/a
https://www.tecnoempleo.com/software-project-manager-alpha-networks/git-jira-excel-project-manager-con/rf-50ba1107b2b213f4c54f,Software Project Manager,Alpha Networks,"['git', 'jira', 'excel']","Alpha Networks is a Belgium company, looking for an organized, detail-oriented candidate to join our team as a Software Project Manager. 

The Software Project Manager´s ...",24/01/2025Murcia (Híbrido) y otrasJefe de Proyecto33.000€ - 39.000€ b/aContrato freelance/autónomo
https://www.tecnoempleo.com/senior-developer-java-integracion-chakray/java-openshift-spring-git-api-mi/rf-189c1f2ad2b623f8f341,Senior Developer Java de integración,Chakray,"['java', 'Openshift', 'spring']","Funciones y Responsabilidades: 
Como developer senior en el área de integración de Chakray, se unirá a un equipo 
dinámico y en crecimiento de personas apasionadas por la ...",24/01/2025100% remotoAnalista Programador
https://www.tecnoempleo.com/consultor-sap-mm-senior-madrid/sap-hana/rf-2a28163cd27c5395a54e,Consultor SAP MM Senior,Michael Page,"['SAP', 'Hana']","Perfil buscado (Hombre/Mujer)


• Implementación de rollouts de SAP MM.
• Colaborar estrechamente con otros departamentos para entender sus necesidades tecnológicas...","25/01/2025									Nueva
MadridConsultor36.000€ - 48.000€ b/a"
https://www.tecnoempleo.com/programador-drupal-madrid/php-drupal/rf-d9d7163412e3933d1c4a,Programador Drupal,HAYS,"['PHP', 'Drupal']",En Hays estamos colaborando con una empresa que se dedica a proporcionar orientación académica y profesional a estudiantes en España. Ofrecen información sobre carreras ...,"25/01/2025									Nueva
MadridProgramador"
https://www.tecnoempleo.com/consultor-service-now-asturias/service-now-c-visual-basic-javascript/rf-9e451e27a249b372d54a,Consultor/a Service Now,HAYS,"['Service Now', 'C#', 'Visual Basic']","Descripción del puesto:

Se busca un Consultor de ServiceNow altamente motivado y con experiencia para unirse al equipo. El candidato ideal tendrá una sólida experiencia ...","25/01/2025									Nueva
AsturiasConsultor"
https://www.tecnoempleo.com/analista-pro-cobol-cics-db2-jcl-incoming-domain/cobol-cics-db2-jcl/rf-ec301af3d2da93aeb84a,Analista Pro. COBOL CICS DB2 JCL,Incoming Domain,"['cobol', 'cics', 'db2']","TELETRABAJO para Desarrolladores (AF, AT, AP, PS) en alguna de las siguientes OFERTAS.

OFERTAS ACTIVAS (*) : * MIGRACION / * CORE BANKING / * HOST / 

* MIGRACION  : COBOL, ...","25/01/2025									Nueva
Madrid y otrasAnalista21.000€ - 30.000€ b/a"
