Technology,Count
ftth,2
autodesk,3
Administración de Sistemas,2
on premise,1
hfc,1
primefaces,52
axapta,3
ot,1
cert,2
MongoDB,112
ericsson,11
tap,1
Calidad,71
Scala,169
JSF,210
Hadoop,4
Salesforce Marketing Cloud,2
PrestaShop,162
integrador it,1
SolidWorks,124
backend,1
Control-M,4
design,2
google earth,1
Selenium,382
Jenkins,320
Data Lake,262
opengate,1
tmb,2
vcloud,1
Visual Basic,59
documentum,52
OpenShift,61
tpv,2
c# net,2
Ruby on Rails,54
usd,52
delphi,4
CI/CD,216
deep learning,1
NestJS,1
tier1,1
emar,1
Microsoft PowerPoint,3
Apache Tomcat,59
sst,1
biztalk,52
PySpark,161
DevSecOps,54
analytics,9
openoffice,52
netreveal,4
tipping point,1
Python,1441
asterisk,1
success factors,1
monitores,1
ppap,1
Soap UI,53
programmatic,1
energia,2
atm,3
React Native,4
informática,1
xml,1
ticketing,3
osstmm,52
ear/pilar,1
backup,54
proxmox,1
SASS,1
Cloudera,53
open project,1
social ads,3
tic,3
IOS,752
rfq,1
cadence,1
lotus,52
jetpack compose,52
malware,4
.Net Core,287
ip,55
board,1
electricidad,6
microelectrónica,1
was,3
led,1
maintenance,1
DAX,1
microfocus,52
SAP LE,1
ssh,1
linux suse,1
x rays,1
4g,10
iis,1
axway,52
tls,1
SAP BO,1
gmao,2
Spring,1779
Hive,53
call manager,1
analizadores de espectro,1
hbase,52
analyst,1
natural,52
DevOps,272
libreoffice,52
IBM DB2,226
Microsoft SharePoint,58
qlik,6
fpga,3
cad,3
monitorización,52
NodeJS,1058
xenapp,1
modellica,52
esri,53
indesign,2
web,1
Google Data Studio,52
anfes,1
Data Science,2
dora,1
Laravel,440
radionavegación,1
almacenamiento,2
maquetado,2
sbm,1
Redes,154
data center,1
twig,1
imap,1
sonarqube,53
sil,1
SOLID,52
sat,1
hp rmc,1
pi vision,1
JPA2,52
Vlocity,53
alarmas,1
sengrid,1
BBDD,216
white rabbit,1
Microsoft Word,2
mqfte,1
.Net ASP CORE,1
enterprise architect,52
atlan,2
RRSS,4
lowcode,1
nlp,1
microsoft project,1
Soporte Técnico,292
Microsoft Dynamics Navision,84
sdlc,2
automatismos,2
transformacion digital,1
Axure RP,2
secops,5
kaizen,2
z/os,3
Adobe XD,1
x86,1
NextJS,209
pmbok,1
its,1
qualys,1
radio,2
satellite,1
elk,52
wintel,1
CISM,6
power apps,2
ctm,1
selenide,1
Adobe After Effects,1
cloud sql postgre,5
SAP PSCD,52
Azure,892
mlops,52
tensorflow,1
siem,12
crystal reports,1
génesys,1
business analyst,1
prince 2,1
prince,3
mern,1
lua,1
Aeronáutica,57
pspice,4
cyberark,3
cordova,52
producto owner,1
mgd,52
weblogic,55
omnistudio,52
spss,1
JavaScript,2136
netapp,52
pl1,52
blueprism,52
spring batch,53
ClickView,1
nosql,4
.Net Entity,53
Norkom,57
ElectronJS,52
puppet,2
Blockchain,105
magic,1
sistemas biométricos,1
arquitectura hexagogonal,52
matlab,10
Remedy,2
phishing,1
Testing,1163
wan,12
Ansible,161
vcenter,3
robótica industrial,1
ibm mq,1
sap ewm,1
redux,3
csx,1
Scrum,593
plc,32
Adobe Analytics,2
transact sql,1
5g,11
ddi,1
3G,2
CICS,112
ml,52
tarjetas,52
canbus,1
c# visual basic,1
gnss,3
Business Intelligence,165
respaldo,1
ga,1
powerapps,53
Windows,223
cnc,1
ui path,2
TDD,105
mainframe,56
Data Visualization,52
spm,1
qt,55
goal,1
screaming frog,1
rm idocs,1
visión artificial,2
Incident Management,2
hmis,1
PHP,1239
openedge,52
wt directory,1
PMO,108
API,593
ssrs,2
Job Control Language,114
middleware,5
Angular,2880
rescat,2
Help Desk,72
SpringBoot,1678
quasar,52
rockwell,2
Adobe Magento,58
dhcp,2
Unix,217
odoo,2
systems deployments,1
ia,1
ivr,1
eventhubs,1
business development,1
